Protein, Ligand, E1, E2, E3, E4, E5, E6, E7, E8, E9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGG,9,-9.8,-9.7,-9.6,-9.3,-9.3,-9.3,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,0,-9.9,-9.6,-9.5,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,1,-9.9,-9.6,-9.3,-9.3,-9.3,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,2,-9.8,-9.6,-9.5,-9.4,-9.4,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,3,-9.9,-9.6,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,4,-9.9,-9.6,-9.5,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,5,-9.7,-9.6,-9.5,-9.4,-9.4,-9.4,-9.4,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,6,-9.9,-9.5,-9.5,-9.5,-9.4,-9.4,-9.4,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,7,-9.9,-9.5,-9.4,-9.4,-9.4,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,8,-9.9,-9.6,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGGM,9,-9.9,-9.6,-9.5,-9.5,-9.4,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,0,-9.0,-9.0,-8.9,-8.8,-8.7,-8.6,-8.6,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,1,-9.0,-8.9,-8.8,-8.7,-8.7,-8.6,-8.6,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,2,-9.0,-9.0,-8.9,-8.6,-8.6,-8.6,-8.5,-8.5,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,3,-9.0,-9.0,-8.8,-8.7,-8.7,-8.6,-8.6,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,4,-9.0,-8.9,-8.9,-8.6,-8.6,-8.6,-8.5,-8.5,-8.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,5,-9.0,-8.9,-8.8,-8.7,-8.6,-8.6,-8.6,-8.6,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,6,-9.0,-8.9,-8.9,-8.8,-8.7,-8.7,-8.6,-8.6,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,7,-9.0,-8.9,-8.8,-8.7,-8.7,-8.6,-8.6,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,8,-9.0,-8.9,-8.9,-8.7,-8.7,-8.6,-8.6,-8.6,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMG,9,-9.0,-8.9,-8.8,-8.8,-8.7,-8.6,-8.5,-8.5,-8.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,0,-9.9,-9.7,-9.6,-9.6,-9.5,-9.4,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,1,-9.7,-9.7,-9.6,-9.4,-9.4,-9.4,-9.4,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,2,-9.8,-9.8,-9.7,-9.5,-9.5,-9.4,-9.4,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,3,-9.8,-9.7,-9.5,-9.5,-9.5,-9.5,-9.4,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,4,-9.9,-9.7,-9.5,-9.5,-9.5,-9.5,-9.5,-9.4,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,5,-9.8,-9.6,-9.5,-9.5,-9.5,-9.5,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,6,-9.8,-9.5,-9.5,-9.5,-9.5,-9.5,-9.4,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,7,-9.6,-9.6,-9.5,-9.4,-9.3,-9.3,-9.3,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,8,-9.8,-9.7,-9.5,-9.5,-9.4,-9.4,-9.4,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGGMM,9,-9.9,-9.6,-9.5,-9.5,-9.5,-9.5,-9.5,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,0,-9.4,-9.4,-9.2,-9.1,-9.0,-9.0,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,1,-9.5,-9.4,-9.3,-9.2,-9.1,-9.0,-9.0,-8.9,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,2,-9.4,-9.4,-9.3,-9.1,-8.9,-8.8,-8.8,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,3,-9.4,-9.3,-9.3,-9.1,-9.0,-9.0,-8.9,-8.6,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,4,-9.5,-9.4,-9.4,-9.2,-9.1,-9.0,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,5,-9.4,-9.3,-9.3,-9.2,-9.1,-9.1,-9.0,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,6,-9.5,-9.4,-9.4,-9.2,-9.2,-9.1,-9.1,-8.9,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,7,-9.5,-9.4,-9.3,-9.3,-9.2,-9.1,-9.1,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,8,-9.5,-9.4,-9.4,-9.3,-9.1,-9.0,-8.9,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGG,9,-9.5,-9.4,-9.4,-9.2,-9.1,-9.1,-8.9,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,0,-10.1,-10.1,-9.9,-9.8,-9.8,-9.7,-9.6,-9.6,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,1,-10.2,-9.9,-9.8,-9.6,-9.5,-9.5,-9.4,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,2,-10.1,-9.9,-9.7,-9.7,-9.7,-9.7,-9.6,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,3,-10.0,-9.9,-9.7,-9.7,-9.6,-9.6,-9.5,-9.5,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,4,-10.1,-9.9,-9.8,-9.7,-9.7,-9.6,-9.6,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,5,-10.1,-9.9,-9.8,-9.8,-9.7,-9.5,-9.5,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,6,-10.1,-9.9,-9.7,-9.7,-9.7,-9.5,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,7,-10.1,-10.1,-9.9,-9.8,-9.7,-9.6,-9.6,-9.6,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,8,-9.4,-9.3,-9.2,-9.2,-9.1,-9.1,-9.0,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMGM,9,-10.0,-9.8,-9.7,-9.7,-9.6,-9.6,-9.5,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,0,-9.1,-8.9,-8.8,-8.8,-8.7,-8.6,-8.6,-8.6,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,1,-9.1,-8.9,-8.9,-8.8,-8.8,-8.8,-8.8,-8.7,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,2,-9.1,-8.9,-8.8,-8.8,-8.8,-8.8,-8.8,-8.7,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,3,-9.1,-8.8,-8.8,-8.8,-8.8,-8.8,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,4,-9.1,-9.0,-8.9,-8.9,-8.9,-8.8,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,5,-9.1,-9.0,-8.9,-8.9,-8.8,-8.8,-8.8,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,6,-9.1,-8.9,-8.9,-8.9,-8.9,-8.9,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,7,-9.1,-8.9,-8.9,-8.8,-8.8,-8.7,-8.6,-8.6,-8.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,8,-9.2,-8.9,-8.9,-8.9,-8.8,-8.7,-8.7,-8.7,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMG,9,-9.1,-8.9,-8.9,-8.9,-8.8,-8.8,-8.7,-8.7,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,0,-9.8,-9.7,-9.6,-9.6,-9.5,-9.5,-9.5,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,1,-9.8,-9.8,-9.7,-9.7,-9.7,-9.6,-9.6,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,2,-9.7,-9.7,-9.7,-9.6,-9.6,-9.6,-9.5,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,3,-9.7,-9.6,-9.6,-9.6,-9.5,-9.5,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,4,-9.7,-9.7,-9.6,-9.6,-9.6,-9.6,-9.5,-9.5,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,5,-9.9,-9.8,-9.8,-9.7,-9.7,-9.6,-9.6,-9.6,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,6,-9.6,-9.5,-9.5,-9.5,-9.5,-9.4,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,7,-9.8,-9.8,-9.7,-9.6,-9.6,-9.6,-9.5,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,8,-9.6,-9.6,-9.6,-9.6,-9.6,-9.5,-9.5,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MGMMM,9,-9.9,-9.9,-9.7,-9.7,-9.7,-9.7,-9.6,-9.6,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,0,-9.8,-9.7,-9.7,-9.5,-9.4,-9.4,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,1,-9.8,-9.7,-9.6,-9.5,-9.4,-9.4,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,2,-9.8,-9.8,-9.7,-9.5,-9.5,-9.4,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,3,-9.9,-9.9,-9.8,-9.7,-9.7,-9.6,-9.6,-9.6,-9.6
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,4,-9.7,-9.7,-9.6,-9.6,-9.4,-9.4,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,5,-9.7,-9.6,-9.5,-9.5,-9.4,-9.3,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,6,-9.7,-9.6,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,7,-9.8,-9.6,-9.6,-9.6,-9.5,-9.4,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,8,-9.8,-9.7,-9.6,-9.5,-9.4,-9.4,-9.4,-9.4,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGG,9,-9.6,-9.6,-9.5,-9.3,-9.3,-9.3,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,0,-10.0,-9.9,-9.8,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,1,-10.0,-9.9,-9.7,-9.5,-9.5,-9.4,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,2,-10.0,-9.9,-9.7,-9.5,-9.4,-9.4,-9.3,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,3,-10.0,-9.9,-9.7,-9.5,-9.4,-9.4,-9.4,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,4,-10.0,-9.9,-9.8,-9.5,-9.4,-9.3,-9.3,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,5,-10.0,-9.9,-9.8,-9.4,-9.4,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,6,-10.0,-9.9,-9.7,-9.7,-9.5,-9.5,-9.4,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,7,-10.0,-9.9,-9.8,-9.5,-9.4,-9.3,-9.2,-9.2,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,8,-10.0,-9.9,-9.6,-9.5,-9.4,-9.3,-9.3,-9.3,-9.2
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGGM,9,-10.0,-9.9,-9.7,-9.4,-9.4,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,0,-9.7,-9.6,-9.6,-9.4,-9.3,-9.3,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,1,-9.6,-9.5,-9.4,-9.4,-9.3,-9.2,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,2,-9.7,-9.6,-9.5,-9.4,-9.4,-9.3,-9.2,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,3,-9.7,-9.5,-9.5,-9.3,-9.2,-9.2,-9.2,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,4,-9.3,-9.3,-9.1,-9.0,-9.0,-8.9,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,5,-9.6,-9.6,-9.4,-9.4,-9.2,-9.1,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,6,-9.5,-9.5,-9.4,-9.3,-9.2,-9.1,-9.1,-9.0,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,7,-9.5,-9.5,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,8,-9.7,-9.6,-9.6,-9.3,-9.3,-9.2,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMG,9,-9.6,-9.6,-9.5,-9.4,-9.3,-9.3,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,0,-9.4,-9.2,-9.2,-9.2,-9.2,-9.1,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,1,-9.0,-8.9,-8.9,-8.8,-8.8,-8.8,-8.7,-8.7,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,2,-9.4,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,3,-9.3,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,4,-9.3,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,5,-9.4,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,6,-9.4,-9.2,-9.2,-9.1,-9.1,-9.1,-9.1,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,7,-9.0,-8.9,-8.9,-8.9,-8.8,-8.8,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,8,-9.4,-9.4,-9.4,-9.3,-9.3,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMGMM,9,-9.4,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,0,-9.5,-9.3,-9.3,-9.2,-9.1,-9.0,-9.0,-8.9,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,1,-9.5,-9.4,-9.3,-9.3,-9.1,-9.0,-8.7,-8.7,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,2,-9.5,-9.4,-9.3,-9.2,-9.1,-9.1,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,3,-9.4,-9.4,-9.3,-9.2,-9.0,-9.0,-8.9,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,4,-9.4,-9.3,-9.2,-9.1,-9.0,-8.9,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,5,-9.5,-9.3,-9.3,-9.2,-9.1,-9.0,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,6,-9.4,-9.3,-9.2,-9.2,-9.0,-8.9,-8.9,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,7,-9.4,-9.3,-9.2,-9.1,-9.1,-9.0,-8.8,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,8,-9.4,-9.2,-9.2,-9.0,-9.0,-8.9,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGG,9,-9.5,-9.4,-9.3,-9.2,-9.1,-8.9,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,0,-9.2,-9.2,-9.2,-9.0,-9.0,-9.0,-9.0,-8.9,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,1,-9.3,-9.1,-9.0,-9.0,-9.0,-8.9,-8.8,-8.8,-8.7
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,2,-9.3,-9.1,-9.1,-9.0,-9.0,-9.0,-8.9,-8.9,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,3,-9.3,-9.2,-9.0,-9.0,-8.9,-8.9,-8.9,-8.8,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,4,-9.3,-9.1,-9.0,-9.0,-9.0,-8.9,-8.9,-8.9,-8.8
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,5,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0,-9.0,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,6,-9.6,-9.6,-9.6,-9.4,-9.4,-9.3,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,7,-9.2,-9.2,-9.1,-9.0,-9.0,-9.0,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,8,-9.4,-9.4,-9.3,-9.3,-9.2,-9.2,-9.2,-9.2,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMGM,9,-9.2,-9.2,-9.0,-9.0,-9.0,-8.9,-8.9,-8.9,-8.9
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,0,-9.6,-9.5,-9.4,-9.3,-9.2,-9.2,-9.2,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,1,-9.5,-9.4,-9.3,-9.2,-9.2,-9.0,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,2,-9.5,-9.2,-9.2,-9.1,-9.1,-9.1,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,3,-9.5,-9.3,-9.3,-9.2,-9.2,-9.2,-9.2,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,4,-9.5,-9.3,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,5,-10.0,-10.0,-9.8,-9.7,-9.6,-9.6,-9.6,-9.5,-9.5
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,6,-9.5,-9.4,-9.2,-9.2,-9.1,-9.1,-9.0,-9.0,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,7,-9.9,-9.9,-9.6,-9.6,-9.5,-9.5,-9.5,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,8,-9.5,-9.4,-9.3,-9.2,-9.2,-9.1,-9.1,-9.1,-9.1
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMG,9,-9.6,-9.5,-9.2,-9.2,-9.2,-9.2,-9.1,-9.1,-9.0
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,0,-9.7,-9.5,-9.5,-9.5,-9.5,-9.5,-9.5,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,1,-9.9,-9.7,-9.6,-9.6,-9.5,-9.5,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,2,-9.9,-9.6,-9.6,-9.6,-9.6,-9.4,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,3,-9.8,-9.7,-9.6,-9.6,-9.5,-9.4,-9.4,-9.4,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,4,-9.9,-9.7,-9.6,-9.6,-9.6,-9.6,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,5,-9.9,-9.7,-9.6,-9.6,-9.5,-9.4,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,6,-9.8,-9.7,-9.5,-9.5,-9.5,-9.4,-9.3,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,7,-9.9,-9.8,-9.6,-9.5,-9.4,-9.4,-9.4,-9.3,-9.3
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,8,-9.9,-9.8,-9.6,-9.6,-9.6,-9.4,-9.4,-9.4,-9.4
AF_A0A853NTT5_F1_model_v4_model1.pdbqt_MMMMM,9,-10.2,-10.0,-9.8,-9.7,-9.7,-9.7,-9.7,-9.6,-9.6
